日付,商品名,カテゴリ,数量,単価,金額
2026-04-01,オーガニックコーヒー,飲料,12,780,9360
2026-04-01,米粉クッキー,食品,15,350,5250
2026-04-02,ハーブティー,飲料,9,680,6120
2026-04-03,エコバッグ,雑貨,7,1200,8400
2026-04-04,ビジネスノート,文具,14,480,6720
2026-04-05,ジェルボールペン,文具,22,180,3960
2026-04-06,ハンドソープ,日用品,10,620,6200
2026-04-07,キッチンタオル,日用品,9,540,4860
2026-04-08,季節限定ギフトセット,ギフト,5,2800,14000
2026-04-10,オーガニックコーヒー,飲料,14,780,10920
2026-04-11,米粉クッキー,食品,13,350,4550
2026-04-12,ハーブティー,飲料,11,680,7480
2026-04-14,エコバッグ,雑貨,6,1200,7200
2026-04-15,ビジネスノート,文具,12,480,5760
2026-04-17,ハンドソープ,日用品,9,620,5580
2026-04-18,季節限定ギフトセット,ギフト,6,2800,16800
2026-04-20,キッチンタオル,日用品,11,540,5940
2026-04-22,オーガニックコーヒー,飲料,13,780,10140
2026-04-24,ジェルボールペン,文具,25,180,4500
2026-04-25,米粉クッキー,食品,16,350,5600
2026-04-27,ステンレスボトル,雑貨,5,1800,9000
2026-04-29,ステンレスボトル,雑貨,4,1800,7200
